AT,V,AP,RH,PE,PC1,PC2,PC3,PC4,PC5
7.91,39.96,1023.57,88.44,475.52,-32.67940223,3.282969396,4.70397266,4.85295754,1.433662254
5.81,35.79,1012.14,92.28,484.41,-41.69343966,4.590085877,-2.609696218,-5.604725129,0.795542755
30.53,65.18,1012.69,41.85,437.89,32.09484918,-21.55898162,1.212695735,0.32483231,-1.252057485
23.87,63.94,1019.02,44.28,445.11,22.56469639,-22.34203661,7.493577979,1.906949402,2.004602815
26.09,58.41,1013.64,64.58,438.86,18.23553787,-2.796552934,-2.424255227,5.366670212,-0.118030187
29.27,66.85,1011.11,63.25,440.98,22.70255997,-2.079242873,1.991635876,-1.379088237,-3.039678444
27.38,74.16,1010.08,78.61,436.65,23.32869015,15.22391959,4.808358314,-2.397389714,-1.043365167
24.81,63.94,1018.76,44.51,444.26,23.41328776,-21.86421132,6.94296175,2.201049304,1.381302974
12.75,44.03,1007.29,89.46,465.86,-20.58409595,9.708389737,-6.78169508,-4.079144883,1.118349331
24.66,63.73,1011.4,74.52,444.37,13.14435426,6.501228355,1.426382596,-0.663854038,-1.100414155
16.38,47.45,1010.08,88.86,450.69,-7.080709274,13.83688266,-7.842047863,3.712885623,2.504100744
13.91,39.35,1014.69,75.51,469.02,-20.62396497,-6.006347902,-3.974257498,1.003245382,-0.270583649
23.18,51.3,1012.04,78.64,448.86,1.744654587,5.77201739,-5.091721162,3.813139559,-2.207369629
22.47,47.45,1007.62,76.65,447.14,2.128650798,3.875268377,-11.01043662,2.975912716,-0.689394449
13.39,44.85,1017.24,80.44,469.18,-20.30344457,-0.36195273,1.430460899,0.579942864,-0.234474734
9.28,41.54,1018.33,79.89,482.8,-32.86817699,-5.538064082,4.684477907,-3.80674099,-0.823498309
11.82,42.86,1014.12,88.28,476.7,-29.60885538,4.655558225,0.439751223,-3.773602772,-1.807512634
10.27,40.64,1020.63,84.6,474.99,-29.45154456,0.413153769,2.89105617,2.459093027,0.008902758
22.92,63.94,1019.28,42.69,444.22,23.44978667,-23.60708388,7.523064393,2.318727221,3.322229531
16,37.87,1020.24,78.41,461.33,-16.9845361,-2.251159816,-4.091487984,9.804041899,-0.57465213
21.22,43.43,1010.96,61.07,448.06,4.365735998,-12.14871524,-10.80289015,5.509557399,1.366394413
13.46,44.71,1014.51,50,474.6,-12.74067011,-29.58555857,1.896223598,-6.466699191,1.301951394
9.39,40.11,1029.14,77.29,473.05,-27.01021843,-6.884022392,7.720703009,9.215196389,1.588720958
31.07,73.5,1010.58,43.66,432.06,40.13943804,-15.92771097,3.541145948,-2.226000012,0.443836111
12.82,38.62,1018.71,83.8,467.41,-23.71744816,1.416564611,-2.40569583,5.686385016,0.098400122
32.57,78.92,1011.6,66.47,430.12,36.20641165,6.916409641,6.62598387,-1.107921143,-2.495148714
8.11,42.18,1014.82,93.09,473.62,-30.75881587,9.616753838,-0.216899955,-1.338704492,2.071044902
13.92,39.39,1012.94,80.52,471.81,-24.19902791,-1.935251649,-4.31120221,-1.198962489,-1.547395696
23.04,59.43,1010.23,68.99,442.99,13.66197361,0.768668463,-2.392852207,0.583852639,1.286026892
27.31,64.44,1014.65,57.27,442.77,21.35986496,-9.103852594,3.579021178,0.885249125,-1.506442451
5.91,39.33,1010.18,95.53,491.49,-45.89506036,6.827634986,0.676673461,-11.7819126,-1.539834469
25.26,61.08,1013.68,71.72,447.46,10.55477886,2.161011864,2.081976963,0.617991964,-2.634261244
27.97,58.84,1002.25,57.88,446.11,17.75950897,-9.52333129,-7.342124583,-7.071440872,-2.674532308
26.08,52.3,1007.03,63.34,442.44,13.94681741,-5.760834477,-9.72418981,1.598601246,-0.961133444
29.01,65.71,1013.61,48.07,446.22,23.55667174,-18.03788797,4.852412532,-2.761344833,-3.10796635
12.18,40.1,1016.67,91.87,471.49,-28.7843817,8.360998709,-1.535482936,2.192396099,-1.193377913
13.76,45.87,1008.89,87.27,463.5,-17.07771483,8.6365403,-5.30523841,-2.772277078,1.116771763
25.5,58.79,1016.02,64.4,440.01,17.18466119,-3.4390571,-0.178913136,6.340423196,-0.048097163
28.26,65.34,1014.56,43.4,441.03,28.42353518,-21.15945665,3.761393448,0.116999897,-0.380117714
21.39,62.96,1019.49,72.24,452.68,5.63053291,1.052961702,9.230579425,1.318230218,-0.985814735
7.26,40.69,1020.43,90.22,474.91,-32.34095011,5.614201986,2.995591352,2.587856051,2.303750364
10.54,34.03,1018.71,74,478.77,-31.2137132,-11.86896819,-1.462915993,1.520457922,-0.544208711
27.71,74.34,998.14,71.85,434.2,29.24613847,11.01621739,-3.529368797,-10.66031256,0.9290598
23.11,68.3,1017.83,86.62,437.91,14.28773938,19.84136854,6.603668779,5.860560227,0.93304511
7.51,41.01,1024.61,97.41,477.61,-37.18430556,11.14072508,6.615302758,4.8603208,0.216540819
26.46,74.67,1016.65,84.44,431.65,23.89428022,21.33228512,7.841182372,4.980532939,0.369615359
29.34,74.34,998.58,81.55,430.57,28.74132691,20.89090033,-4.779197436,-7.69795234,-0.490641776
10.32,42.28,1008.82,75.66,481.09,-28.21043587,-7.727282721,-1.587637459,-10.63333423,-0.147286002
22.74,61.02,1009.56,79.41,445.56,8.799620496,10.16327541,-1.119968347,-1.020903899,-0.180842444
13.48,39.85,1012.71,58.91,475.74,-18.98092183,-22.75105911,-2.404751258,-5.281628575,-0.110067946
25.52,69.75,1010.36,90.06,435.12,17.43370473,24.98092213,1.486282798,1.44736532,-0.230209959
21.58,67.25,1017.39,79,446.15,10.25951871,10.37672145,8.544644126,1.402210356,0.547526319
27.66,76.86,1001.31,69.47,436.64,29.20847827,8.478251724,1.076650712,-10.87276091,0.366421417
26.96,69.45,1013.89,51.47,436.69,30.27726727,-11.43493578,4.7216973,0.312237995,1.627012008
12.29,42.18,1016.53,83.13,468.75,-22.55613406,1.602000299,-0.912051326,1.672357113,0.572709361
15.86,43.02,1012.18,40.33,466.6,-3.296931398,-36.51038728,-3.374848506,-4.253341707,2.618497592
13.87,45.08,1024.42,81.69,465.48,-18.76734734,1.054840652,5.018115591,7.639641792,-0.131098435
24.09,73.68,1014.93,94.55,441.34,12.28060483,27.95802127,9.173241765,0.295766356,-1.409245059
20.45,69.45,1012.53,91.81,441.83,10.00386666,24.4270361,5.363373986,-0.183506017,2.091328118
15.07,39.3,1019,63.62,464.7,-13.40615729,-16.27686494,-2.448637956,5.320766709,0.91681973
32.72,69.75,1009.6,49.35,437.99,32.61932889,-13.12461654,1.925522146,-3.37809087,-3.671922193
18.23,58.96,1015.55,69.61,459.12,-0.466959836,-3.734397428,6.39817926,-3.166955496,0.303407198
35.56,68.94,1006.56,38.75,429.69,43.2796195,-20.5139087,-3.336928613,-2.009628603,-2.487106467
18.36,51.43,1010.57,90.17,459.8,-11.52288838,13.60944292,-2.190642484,-1.858262531,-2.18080496
26.35,64.05,1009.81,81.24,433.63,19.22805508,15.84063972,-3.12490759,3.760208257,0.112025542
25.92,60.95,1014.62,48.46,442.84,22.37211608,-18.15754976,1.55425238,1.646094451,0.508859265
8.01,41.66,1014.49,76.72,485.13,-33.22245031,-8.641283981,3.209600338,-8.143146059,0.232694809
19.63,52.72,1025.09,51.16,459.12,2.422269944,-23.38751171,8.608690196,5.358502436,-0.083062194
20.02,67.32,1012.05,76.34,445.31,12.0513447,8.740287711,5.076782388,-2.497150671,2.917265288
10.08,40.72,1022.7,67.3,480.8,-27.54868935,-17.2850041,6.51625201,-0.2585867,0.004183034
27.23,66.48,1005.23,52.38,432.55,32.60327253,-9.307262928,-4.303128983,-2.609983916,3.017313219
23.37,63.77,1013.42,76.44,443.86,12.16669866,8.180803568,2.716889286,1.116011551,-0.059987516
18.74,59.21,1018.3,91.55,449.77,-1.889287191,18.74408378,4.887469114,5.023474002,0.329619288
14.81,43.69,1017.19,71.9,470.71,-18.39509593,-8.918927663,1.110347165,-0.246858355,-1.228110671
23.1,51.3,1011.93,80.05,452.17,-1.140145415,6.196360095,-4.136295143,2.283803638,-3.306849042
10.72,41.38,1021.6,63.77,478.29,-23.80419499,-19.56525913,5.453144841,-0.448314547,0.65932074
29.46,71.94,1006.96,62.26,428.54,35.02994713,2.121134809,-1.196929962,-1.045226443,1.32086479
8.1,40.64,1020.66,89.04,478.27,-34.09438651,3.598887803,4.103649128,1.155697743,0.563606666
27.29,62.66,1007.63,58.02,439.58,23.35837704,-7.251282431,-3.231113077,-1.874328091,-0.176578439
17.1,49.69,1005.53,81.82,457.32,-7.322378687,6.669708556,-7.126364388,-4.363190142,0.893197695
11.49,44.2,1018.79,91.14,475.51,-29.83670063,7.440176475,3.997047473,-0.19180956,-1.667911309
23.69,65.59,1010.85,88.92,439.66,11.92266174,21.55964606,0.650662362,1.41236025,-0.058197363
13.51,40.89,1011.03,84.83,471.99,-25.04748891,2.58274551,-4.524638503,-3.066698917,-1.455085421
9.64,39.35,1015.1,91.76,479.81,-35.63965288,5.983988229,-0.14379644,-2.718038269,-1.332738037
25.65,78.92,1010.83,86.56,434.78,23.47413311,24.18558036,7.969359311,-2.669189998,0.54221982
21.59,61.87,1011.18,57.21,446.58,16.04367637,-10.52675698,1.430398866,-2.652698237,2.790502114
27.98,58.33,1013.92,54.25,437.76,23.31179428,-12.04866525,-2.644431665,5.394749355,-0.513722563
18.8,39.72,1001.24,63.8,459.36,-6.048192992,-12.58047969,-15.86661901,-5.158849438,0.294383222
18.28,44.71,1016.99,33.71,462.28,3.186722576,-41.51533003,-0.595318924,0.13843673,2.134063256
13.55,43.48,1016.08,67.25,464.33,-12.50789698,-11.4408894,-1.534463468,1.566791531,2.498408932
22.99,46.21,1010.71,60.11,444.36,9.313966757,-11.27284369,-10.43126667,5.797758278,1.117200463
23.94,59.39,1014.32,74.55,438.64,14.47399582,6.603188979,-1.3473952,6.193731797,0.952761586
13.74,34.03,1018.69,67.34,470.49,-21.8759419,-15.75188399,-4.322472563,5.074721833,-0.273033007
21.3,41.1,1001.86,42.75,455.13,6.046988434,-30.51992216,-15.71044203,-4.95144728,1.456184908
27.54,66.93,1017.06,55.2,450.22,17.80825819,-12.61805472,9.21593253,-2.18974848,-3.884381244
24.81,63.73,1009.34,83.61,440.43,12.93600539,16.15622419,-1.370577104,0.450350556,-0.798734395
4.97,42.85,1014.02,88.78,482.98,-36.40225528,3.371642385,3.126221422,-7.23844288,2.619680478
15.22,50.88,1014.19,100.12,460.44,-17.32824101,22.02848417,0.150557877,1.380811393,-0.723613802
23.88,54.2,1012.81,64.52,444.97,11.23424581,-5.515025422,-3.637122027,3.707337802,-0.104355061
33.01,68.67,1005.2,51.41,433.94,34.86409604,-9.937859939,-3.035262282,-4.003232045,-2.641379047
25.98,73.18,1012.28,85.78,439.73,17.31235461,20.49208687,6.562917867,-1.263001268,-1.626892267
28.18,73.88,1005.89,75.41,434.48,26.6856737,13.25336009,1.174038382,-4.538585033,-0.516148051
21.67,60.84,1017.93,81.63,442.33,8.80791798,12.09373657,3.270875227,6.860682782,1.031525052
17.67,45.09,1014.26,51.92,457.67,0.156882996,-23.11617759,-3.886625578,1.607388575,2.489510115
21.37,57.76,1018.8,70.12,454.66,2.502620102,-2.707897851,5.922983064,2.157609045,-1.58468566
28.69,67.25,1017.71,53.83,432.21,31.57669598,-9.0370774,4.055341841,6.596024827,0.792114603
16.61,43.77,1012.25,77.23,457.66,-9.818584385,0.065290687,-6.503499923,2.805235982,0.963400927
27.91,63.76,1010.27,65.67,435.21,24.08034608,0.966987992,-2.375342042,2.293995828,-0.298740602
20.97,47.43,1007.64,71.18,448.22,2.876724398,-1.475340511,-10.38406325,1.927896196,0.94118465
10.8,41.66,1013.79,81.96,475.51,-27.32221526,-1.134295655,-0.718714085,-3.488336837,0.134973007
20.61,62.91,1013.24,79.54,446.53,7.864588276,10.08840159,3.110826197,0.199230791,1.349176353
25.45,57.32,1011.7,47.09,441.3,22.39570228,-19.63650153,-3.220064142,1.792751594,1.590172717
30.16,69.34,1007.67,57.69,433.54,31.98095713,-4.173734782,-0.901540502,-1.98496564,-0.614829438
4.99,39.04,1020.45,78.89,472.52,-28.02617882,-4.638122085,1.627188316,3.402672099,6.265182908
10.51,44.78,1012.59,85.29,474.77,-26.40752036,3.072228705,0.346453745,-5.239813788,0.536510099
33.79,69.05,1001.62,40.13,435.1,39.04531819,-20.13722234,-4.599186697,-8.256886062,-2.318647132
21.34,59.8,1016.92,77.06,450.74,3.996270647,5.470910127,4.700165812,2.236961198,-0.809166923
23.4,65.06,1014.32,67.38,442.7,16.8388734,0.383387696,3.998064515,0.957786033,1.208414461
32.21,68.14,1003.34,62.44,426.56,35.81262159,2.254405237,-7.082206445,-0.772127204,-0.607423884
14.26,42.32,1016,77.43,463.71,-16.12893642,-2.184072013,-2.863577726,3.251936007,0.928043177
27.71,66.93,1016.85,58.77,447.06,18.8344421,-8.459377674,7.985207515,-0.542947484,-3.405618026
21.95,57.76,1018.02,67.72,452.27,5.362774955,-4.187114445,4.641758376,2.549673122,-1.081613556
25.76,63.94,1018.49,42.14,445.78,23.52811262,-24.4141347,7.188832555,1.152802857,0.273091379
23.68,68.3,1017.93,84.16,438.65,14.82549752,17.37253721,6.8892829,5.418571087,0.4106868
8.28,40.77,1011.55,89.79,480.15,-34.43629952,4.824193825,-1.191339731,-6.423177106,0.354394698
23.44,62.52,1016.46,67.21,447.19,12.18733897,-1.870853219,5.089144644,1.605846889,-0.492463721
25.32,48.41,1008.47,72.14,443.04,7.957986281,1.004872693,-11.33287188,4.901029103,-1.630850154
3.94,39.9,1008.06,97.49,488.81,-44.76880339,9.710717965,-0.983211254,-12.32091471,1.124342185
17.3,57.76,1016.26,87.74,455.75,-5.66761926,13.46620974,4.708436586,0.96806688,0.265800417
18.2,49.39,1018.83,96.3,455.86,-13.05961195,18.8687291,0.455607372,7.548254024,-2.088622962
21.43,46.97,1013.94,61.25,457.68,-1.113078269,-13.960565,-3.439217094,1.5212426,-1.889731945
11.16,40.05,1014.95,88.38,479.11,-33.06434563,3.27287598,-0.090886508,-3.007219763,-2.150379464
30.38,74.16,1007.44,74.77,432.84,28.71936893,13.02843835,1.618465015,-2.657340664,-2.096337449
23.36,62.52,1016.18,68.18,448.37,11.00240162,-1.263182811,5.268832969,0.918998032,-0.86757824
21.69,47.45,1007.56,77.2,447.06,1.748047402,4.401608369,-10.99734395,2.961359604,0.016738723
23.62,49.21,1014.1,49.54,443.53,15.02232731,-20.37157784,-6.297549788,6.42295234,1.789490391
21.87,61.45,1011.13,92.22,445.21,4.108628461,21.98616202,-0.08240785,1.109918591,-0.652339733
29.25,66.51,1015.53,33.65,441.7,32.27637183,-30.11084297,5.490677648,-0.787068991,-0.527997243
20.03,66.86,1013.05,64.59,450.93,11.99145338,-3.815834079,7.438835952,-5.178199419,2.260379307
18.14,49.78,1002.95,100.09,451.44,-9.115322202,25.38939981,-11.1081418,-1.927941449,0.064388023
24.23,56.89,1012.32,68.04,441.29,14.07197698,-0.530118492,-3.408138576,4.128891909,0.527581217
18.11,44.85,1014.48,48.94,458.85,0.396624312,-26.25876894,-3.520785331,1.107144379,1.984574099
6.57,43.65,1018.24,74.47,481.46,-29.72507349,-9.641196065,6.056512161,-4.882114561,2.812791284
12.56,43.41,1016.93,81.02,467.19,-20.03081414,0.355064366,-0.296529196,1.962450424,1.058907341
13.4,41.58,1020.5,71.17,461.54,-13.49856075,-8.066089471,-0.888978447,7.353401469,2.71567659
27.1,52.84,1006.28,53.85,439.08,20.49081443,-13.36904767,-10.82862432,1.65090238,0.184678043
14.28,42.74,1028.79,70.67,467.22,-17.56056242,-10.64661055,7.013162947,10.24764654,-0.346522014
16.29,44.34,1019.49,59.36,468.8,-11.95624435,-20.02629439,2.539870665,1.091043898,-0.858414886
31.24,71.98,1004.66,57.17,426.93,38.90509472,-1.854239272,-3.276464939,-2.300957095,0.832493119
10.57,37.73,1024.36,70.29,474.65,-25.79585214,-13.84135231,3.504568268,5.563116649,0.901264547
13.8,44.21,1022.93,83.37,468.97,-22.13209404,1.605027651,4.532938805,5.444501224,-1.273961203
25.3,71.58,1010.18,87.36,433.97,20.09938186,23.29566727,2.328821768,0.749746718,0.71833519
18.06,50.16,1009.52,100.09,450.53,-9.134073076,25.00853429,-6.843691191,3.152246747,-0.00298223
25.42,59.04,1011.98,68.78,444.51,12.98664101,-0.100238606,-1.302414138,1.487604869,-1.545333755
15.07,40.69,1015.29,70.98,469.03,-18.02489845,-9.886314285,-2.707911521,0.50708722,-0.873168951
11.75,71.14,1019.36,75.68,466.56,-4.469141991,2.549914038,20.12018118,-9.575195082,3.794609876
20.23,52.05,1012.15,47.49,457.57,6.359263182,-25.09837482,-0.76879916,-3.385016778,1.061707127
27.31,59.54,1006.24,71.99,440.13,16.49808018,4.809778381,-6.375429645,-0.508204355,-1.863118802
28.57,69.84,1003.57,66.55,433.24,29.22384569,4.631567095,-3.334418883,-4.465910092,0.369402616
17.9,43.72,1008.64,74.73,452.55,-4.428927689,-0.472566553,-10.60419847,2.461446593,1.851764929
23.83,71.37,1002.04,64.78,443.29,22.17733692,0.828661626,0.464449461,-11.53359373,2.038495649
27.92,74.99,1005.47,75.13,431.76,29.24686518,14.05569705,0.828509638,-4.131705067,0.694022275
17.34,44.78,1007.81,56.38,454.97,1.008508461,-17.66066619,-9.213794946,-1.36967717,3.61181824
17.94,63.07,1012.42,94.35,456.7,-5.447632273,21.11212369,5.898892053,-4.220293446,-0.783598685
6.4,39.9,1007.75,86.55,486.03,-37.98009321,0.437996691,-2.117853674,-11.98422149,0.82604947
11.78,39.96,1011.37,82.95,472.79,-25.97489166,0.339176494,-4.44456282,-3.03158019,0.043739708
20.28,57.25,1010.12,88.42,452.03,-1.809676492,15.66181659,-1.174026419,-1.291938477,-1.047779789
21.04,54.2,1012.26,85.61,443.41,3.817206075,14.35850214,-4.604928088,5.608870033,0.928964927
25.11,67.32,1014.49,58.39,441.93,22.30564715,-7.103257093,5.391935274,-0.258004799,0.866198828
30.28,70.98,1007.51,74.28,432.64,27.42729267,11.79381506,-0.536618459,-1.055008982,-2.053997421
8.14,36.24,1013.15,87.85,480.25,-36.28593281,1.653529905,-3.135355534,-3.321684235,0.31709186
16.86,39.63,1004.47,83.5,466.68,-19.52425126,3.20720354,-11.69374146,-4.673981068,-2.421110729
6.25,40.07,1020.19,65.24,494.39,-37.68138582,-22.75245776,9.218209325,-8.646812701,-0.305177583
22.35,54.42,1012.46,75.01,454.72,0.127482113,1.617992589,-0.674728456,-0.47944555,-2.76317504
17.98,56.85,1012.28,84.52,448.71,0.790548342,12.59185774,-0.743620812,1.566218079,2.388479164
21.19,42.48,1013.43,80.52,469.76,-18.99588184,-0.55901944,-3.371905988,-0.828004542,-7.618389738
20.94,44.89,1009.64,75.14,450.71,-1.863746821,0.624290388,-10.09526008,3.757490484,-0.481088244
24.23,58.79,1009.8,75.75,444.01,10.5743772,6.615536614,-3.06173512,0.738543606,-0.848954978
19.18,58.2,1017.46,76.72,453.2,0.831868251,4.000648832,4.998063244,2.052648028,0.368362258
20.88,57.85,1012.39,85.47,450.87,0.292990155,13.16796047,0.339888187,0.436657775,-1.069966044
23.67,63.86,1019.67,57.95,441.73,19.79170287,-8.940833743,6.53160527,5.149461506,1.801643469
14.12,39.52,1018.41,78.32,465.09,-19.17127523,-2.729133071,-2.758606022,5.764807089,0.231090623
25.23,64.63,1020.59,52.2,447.28,18.69238266,-15.60620889,9.352542788,2.471378421,-0.838877634
6.54,39.33,1011.54,93.69,491.16,-44.96200908,5.078254844,1.425761996,-10.73561072,-1.93252159
20.08,62.52,1017.99,75.74,450.98,5.124130366,4.768122739,7.492057865,1.426296852,0.499681587
24.67,63.56,1013.75,67.56,446.3,13.93549543,-0.728508586,3.598378372,-0.346529029,-1.169251666
27.82,79.74,1008.37,69.46,436.48,29.90930102,8.487142732,7.568243947,-6.952520309,-0.06831915
15.55,42.03,1017.41,74.58,460.84,-12.96027425,-4.258158121,-3.136803683,5.631330236,0.796598983
24.26,69.51,1013.43,53.23,442.56,24.69447471,-11.34681521,6.591337478,-2.863232994,2.179453487
13.45,41.49,1020.19,88.72,467.3,-24.00715254,6.568998679,0.299010181,5.926163518,-0.92055337
11.06,40.64,1021.47,96.16,479.13,-36.48555353,9.86920117,4.417982794,2.149080346,-3.274566843
24.91,52.3,1008.72,68.26,441.15,12.48775082,-1.082155162,-8.999118012,3.782174846,-0.076338672
22.39,59.04,1011.78,86.39,445.52,4.906925528,15.83976631,-1.134475001,2.129795992,-0.805787845
11.95,40.69,1015.62,85.34,475.4,-28.83058111,1.56677886,-0.420149168,-1.267101564,-1.431807697
14.85,40.69,1014.91,72.64,469.3,-18.8448948,-8.390096601,-2.879814995,0.223900794,-0.895378879
10.11,41.62,1017.17,97.82,463.57,-25.27552169,16.27946983,-2.571363619,5.931360473,2.66758222
23.67,68.67,1006.71,77.22,445.32,14.20769026,10.52555184,2.078687236,-6.743990843,-0.176903392
16.14,44.21,1020.36,80.59,461.03,-14.40182199,1.476252926,0.135014899,7.226791759,-0.525284427
15.11,43.13,1014.99,46.91,466.74,-6.337221407,-30.77538708,-1.474575171,-1.803371974,2.419201446
24.14,59.87,1018.47,57.76,444.04,16.53974151,-10.63594697,3.721190838,5.081182605,0.536160485
30.08,67.25,1017.6,53.09,434.01,31.01371864,-10.17348101,4.410002447,5.700753089,-0.995662706
14.77,44.9,1020.5,84.31,465.23,-18.85902041,3.928692286,2.10267873,5.239295146,-0.910095687
27.6,69.34,1009.63,71.58,440.6,20.82481044,6.488520516,2.613628832,-2.885142986,-1.978965901
13.89,44.84,1023.66,92.97,466.74,-23.80472311,11.1288599,4.520834605,7.546586758,-1.662318165
26.85,75.6,1017.43,74.55,433.48,26.68928094,11.89361601,9.722046497,3.449638058,0.437493462
12.41,40.96,1023.36,78.96,473.59,-25.90925774,-4.601393628,4.319281394,4.653502464,-1.155467633
13.08,41.74,1020.75,64.44,474.81,-20.54551705,-17.80480321,3.758676387,0.617070771,-0.461635923
18.93,44.06,1017.58,68.23,454.75,-4.259291808,-7.931893588,-3.828144613,7.370719166,0.269393025
20.5,49.69,1009.6,70.81,452.94,0.372690212,-2.711064299,-6.016263736,0.011798419,-0.078176033
30.72,69.13,1009.94,61.66,435.83,28.68281614,-1.428107573,1.014512399,-0.922805094,-2.431406844
7.55,39.22,1014.53,77.76,482.19,-32.86435647,-7.541340903,0.679516877,-5.517564085,1.354697932
13.49,44.47,1030.46,69.49,466.66,-16.33247711,-11.32518201,9.214537686,10.76874109,0.666225227
15.62,40.12,1013.03,96.26,462.59,-22.50161976,15.22779699,-7.196451783,4.307890497,-1.839751477
24.8,64.63,1020.69,55.74,447.82,16.86644634,-12.50559588,9.563945325,2.557216815,-0.973771166
10.03,41.62,1014.55,95.61,462.73,-23.56324271,14.75587515,-4.490889321,4.208005316,3.411039052
22.43,63.21,1012.06,84.75,447.98,5.79428682,14.72644448,2.687454782,-0.93184779,-1.255670649
14.95,39.31,1009.15,75.3,462.72,-15.05299774,-3.904330968,-9.722769699,-0.030188441,1.12274722
24.78,58.46,1016.82,67.5,442.42,13.84474687,-1.41004224,0.899018748,6.158732105,-0.515560787
23.2,48.41,1008.64,80.92,444.69,2.888017197,8.609389441,-10.64091093,4.83673805,-1.066939505
14.01,39,1016.73,79.23,466.7,-20.73045528,-2.273555343,-3.704379729,4.083491596,-0.175353494
19.4,64.63,1020.38,81.1,453.84,1.656504149,9.219331049,11.35445541,1.240677038,-0.363766997
30.15,67.32,1013.83,32.8,436.92,36.88994717,-29.20742363,3.334222096,-0.176140941,0.367671449
6.91,36.08,1021.82,84.31,486.37,-40.91180748,-4.252673815,4.561773614,-0.132250207,-0.679479567
29.04,60.07,1015.42,46.15,440.43,25.3735702,-19.92450204,0.408064298,3.811141432,-1.530988101
26.02,63.07,1010.94,53.96,446.82,19.07135609,-13.19872689,1.726776469,-3.474801279,-1.039985998
5.89,39.48,1005.11,59.83,484.91,-27.44903614,-23.69824243,-3.864371029,-15.47629041,4.556040062
26.52,71.64,1008.27,75.3,437.76,22.46031604,11.41186,2.435181842,-3.39829766,-0.246719178
28.53,68.08,1013.27,42.53,438.91,31.85528146,-20.53538039,4.096785717,-1.183317022,0.345302337
16.59,39.54,1007.97,70.58,464.19,-13.59879849,-8.438167325,-9.95987325,-1.982600479,-0.304032929
22.95,67.79,1009.89,91.69,442.19,10.08588521,24.10470816,2.345520075,-1.34755641,-0.2636925
23.96,47.43,1008.38,63.55,446.86,7.477052429,-8.189052476,-10.51394644,2.682194309,-0.711515675
17.48,44.2,1018.89,61.51,457.15,-4.062921007,-14.88670526,-1.813688223,6.472772619,1.487707677
6.69,43.65,1020.14,69.55,482.57,-28.91999036,-14.67759797,7.735871712,-4.411086827,2.727459974
10.25,41.26,1007.44,98.08,476.03,-33.15285165,14.16277124,-5.240690206,-6.90552448,-0.752599051
